"","school","conference","school_id","year","division","conference_id"
"429","York (PA)","CAC",815,2020,3,15810
"430","Augustana (IL)","CCIW",40,2020,3,836
"431","Beloit","Midwest Conference",53,2020,3,23119
"432","Blackburn","SLIAC",64,2020,3,12974
"433","Buena Vista","American Rivers",84,2020,3,864
"434","Carroll (WI)","CCIW",120,2020,3,836
"435","Carthage","CCIW",121,2020,3,836
"436","Central (IA)","American Rivers",126,2020,3,864
"437","Chicago","Midwest Conference",137,2020,3,23119
"438","Coe","American Rivers",150,2020,3,864
"439","Cornell College","Midwest Conference",166,2020,3,23119
"440","Dubuque","American Rivers",192,2020,3,864
"441","Elmhurst","CCIW",212,2020,3,836
"442","Eureka","SLIAC",218,2020,3,12974
"443","Fontbonne","SLIAC",11538,2020,3,12974
"444","Greenville","SLIAC",1111,2020,3,12974
"445","Grinnell","Midwest Conference",264,2020,3,23119
"446","Illinois Col.","Midwest Conference",297,2020,3,23119
"447","Ill. Wesleyan","CCIW",300,2020,3,836
"448","Iowa Wesleyan","SLIAC",30173,2020,3,12974
"449","Knox","Midwest Conference",337,2020,3,23119
"450","Lawrence","Midwest Conference",348,2020,3,23119
"451","Loras","American Rivers",364,2020,3,864
"452","Luther","American Rivers",372,2020,3,864
"453","MacMurray","SLIAC",377,2020,3,12974
"454","Millikin","CCIW",424,2020,3,836
"455","Monmouth (IL)","Midwest Conference",438,2020,3,23119
"456","Neb. Wesleyan","American Rivers",462,2020,3,864
"457","North Central (IL)","CCIW",492,2020,3,836
"458","North Park","CCIW",496,2020,3,836
"459","Principia","SLIAC",555,2020,3,12974
"460","Ripon","Midwest Conference",577,2020,3,23119
"461","Simpson","American Rivers",641,2020,3,864
"462","Spalding","SLIAC",23260,2020,3,12974
"463","St. Norbert","Midwest Conference",614,2020,3,23119
"464","Wartburg","American Rivers",750,2020,3,864
"465","WashU","UAA",755,2020,3,1471
"466","Webster","SLIAC",759,2020,3,12974
"467","Westminster (MO)","SLIAC",1450,2020,3,12974
"468","Wheaton (IL)","CCIW",778,2020,3,836
"469","Albright","MAC Commonwealth",16,2020,3,28744
"470","Alvernia","MAC Commonwealth",938,2020,3,28744
"471","Arcadia","MAC Commonwealth",966,2020,3,28744
